Id,routeId,nameZh,nameEn,seqNo,pgp,goBack,longitude,latitude,address,coordinate
20189,10116,聯合醫院和平院區,TCUH Heping Branch,46,,1,121.5063886,25.03646318,中華路二段15號對向(向南),"121.5063886, 25.03646318"
20190,10116,植物園,Taipei Botanical Garden,48,,1,121.509834,25.030056,和平西路二段100號同向(向東),"121.509834, 25.030056"
20191,10116,龍口市場,Longkou Market,49,-1,1,121.511735,25.029143,和平西路二段68號(向東),"121.511735, 25.029143"
20194,10116,捷運頂溪站,MRT Dingxi Sta.,52,-1,1,121.515471,25.013998,永和路二段217號(向南),"121.515471, 25.013998"
20196,10116,正興里,Zhengxing Village,54,-1,1,121.515573,25.010002,中正路633號對面(向南),"121.515573, 25.010002"
20199,10116,永和國小,Yonghe Elementary School,57,-1,1,121.5172544,25.00304399,中正路472號對向(向南),"121.5172544, 25.00304399"
20200,10116,得和路口,Dehe Rd. Entrance,58,-1,1,121.517563,25.000946,中正路277號同向(向南),"121.517563, 25.000946"
20202,10116,中興二村,Zhongxing Village 2,60,-1,1,121.5152688,24.99706845,永和區中正路83號(向南),"121.5152688, 24.99706845"
20203,10116,智光商職,Chih-Kuang Senior Commercial & Industrial Vocational High School,61,-1,1,121.5125768,24.99403299,中正路64號(向南),"121.5125768, 24.99403299"
154230,16731,基隆市界(明德三路),Keelung City Line(Mingde 3rd Rd.),0,,0,121.685307,25.075597,基隆市七堵區明德三路115號對面(向西),"121.685307, 25.075597"
154231,16731,摩天鎮,Maotianzhen,1,,0,121.683273,25.074762,大同路三段611-5號同向(向南),"121.683273, 25.074762"
154232,16731,亞太科技園區,Asia Pacific Technology Park,2,-1,0,121.682809,25.072605,大同路三段575號(向南),"121.682809, 25.072605"
154233,16731,保長坑,Baochangkeng,3,,0,121.67919,25.07129,大同路三段324號同向(向西),"121.67919, 25.07129"
154234,16731,保安里,Baoan Village,4,,0,121.675147,25.073658,大同路三段333號(向西),"121.675147, 25.073658"
154235,16731,長安里,Jhangan Village,5,,0,121.67317,25.0763,大同路三段243-245號同向(向西),"121.67317, 25.0763"
