name,star,comment,class,address,latitude,longitude
好了啦紅茶冰-三芝智成店,4.5,6,冰品飲料店,新北市三芝區智成街26號,25.2566695,121.5038944
三芝製茶所-小粟手作,4.4,27,茶葉店,新北市三芝區105號~1 店面在淡金路2段19巷1號,25.2613699,121.4791021
三分春色 台北小巨蛋店,4.9,335,冰品飲料店,台北市松山區南京東路四段2號1樓,25.0509865,121.5503562
奶茶站飲料坊,4.5,159,冰品飲料店,台北市大同區重慶北路三段335巷42號,25.074464,121.515217
思相枝傳統豆花,3.7,82,冰品飲料店,新北市三芝區中正路一段101號,25.2560096,121.5047828
小粟茶室,0,0,茶葉店,新北市三芝區北勢子20號,25.2534722,121.4727693
福德茶坊,4.7,21,冰品飲料店,新北市淡水區中正路61號,25.1694876,121.4415834
Milu義調柴飲品店/早午餐,4.7,41,冰品飲料店,新北市泰山區楓江路40-2號,25.0623809,121.434859
原品手作飲料舖,1.6,10,冰品飲料店,新北市三重區龍濱路20巷6號,25.0676487,121.5027276
淡水舊鎮50年代枝仔冰,4.2,403,冰品飲料店,新北市淡水區淡金路二段270-1號,25.1885242,121.4471664
料杯杯BOBOLIAO微風北車店,4.1,262,冰品飲料店,台北市中正區北平西路3號2樓,25.0473866,121.5167338
芋見幸福大甲芋頭牛奶(三重福德店),4.9,26,冰品飲料店,新北市三重區信義街82號,25.0653305,121.5017357
蓋斯茶中和永安站,5,175,冰品飲料店,新北市中和區中安街18號,25.0031781,121.5133512
DrinkStore水雲朵台北復興店,4.7,163,冰品飲料店,台北市中山區復興北路154-1號,25.0530117,121.5437952
泰桑哩SonnyChaThai樂華店（每週二公休）,4.2,241,冰品飲料店,新北市永和區永平路181號,25.0092694,121.5101503
七盞茶 三重三民店,4.8,79,冰品飲料店,新北市三重區三民街110號1號,25.0633568,121.4850948
CoCo都可 三民店,4.2,148,冰品飲料店,新北市三重區三民街89號,25.063173,121.4855933
黑波堂 三重中華店,4.6,51,冰品飲料店,新北市三重區中華路117號,25.0635935,121.4836767
日月手作茶,5,3,冰品飲料店,新北市三重區忠孝路三段40巷50號,25.065847,121.483096
麻古茶坊三重中華店,4,215,冰品飲料店,新北市三重區中華路97號,25.0631662,121.4836687
紅茶洋行-三重國隆2店,5,94,冰品飲料店,新北市三重區三民街319號,25.069004,121.4776437
好了啦紅茶冰三重中華店,3.5,4,冰品飲料店,新北市三重區中華路104號,25.0634266,121.4833296
My嘟蘭手工綠豆沙牛乳 三重三民店,4.7,7,冰品飲料店,新北市三重區三民街287號,25.0685591,121.4788743
李記紅茶冰三重中正北店,4.4,22,冰品飲料店,新北市三重區中正北路244號,25.0679614,121.4816155
小茶齋-三重店,4.1,198,冰品飲料店,新北市三重區自強路一段216號,25.0665673,121.4941791
COMEBUY_三重中華店,4,138,冰品飲料店,新北市三重區中華路110號,25.063557,121.483311
豆佳香?濃豆乳 (豆花),4.9,432,冰品飲料店,新北市三重區新北大道一段82號,25.0616747,121.4862335
皇爵-三重商工店,4.1,133,冰品飲料店,新北市三重區忠孝路二段150號,25.0681408,121.4825321
果拾鮮果茶,4.5,117,冰品飲料店,新北市三重區重新路四段10-1號,25.0579308,121.4890127
鮮茶道(三重自強店),4,86,冰品飲料店,新北市三重區自強路一段274號,25.0678294,121.4920615
賞茶,4,34,冰品飲料店,新北市三重區忠孝路三段26號,25.0670471,121.4815522
李記紅茶冰-三重集美店（原中正南店）,5,22,冰品飲料店,新北市三重區集美街126巷5號,25.053445,121.4893736
Baroness小黑糖 雲端,4.2,515,冰品飲料店,新北市三重區新北大道ㄧ段57巷1樓號,25.0607358,121.4858278
CoCo都可 三重自強店,4.1,136,冰品飲料店,新北市三重區自強路一段250號,25.067316,121.492584
我想做愛 玉,4.5,183,冰品飲料店,新北市三重區重安街57號,25.0563132,121.4918638
"萬金紅茶冰 (01/15 - 02/21寒假休息中, 02/22開始營業, 有任何更新請關注FB粉絲專頁)",3.8,643,冰品飲料店,新北市三重區中正南路75號,25.0589761,121.494105
交心茶,4.4,86,冰品飲料店,新北市三重區集美街184號,25.0534977,121.490538
喫點冰 / 三重冰店 / 三重豆花 / 芒果冰 / 燒仙草,4.6,71,冰品飲料店,新北市三重區洛陽街23號1樓,25.0632801,121.4827173
茶詠春-三重自強店,4,36,冰品飲料店,新北市三重區自強路一段194號,25.0662299,121.494732
TEATOP第一味 三重大智店,4.4,76,冰品飲料店,新北市三重區大智街61號,25.0679526,121.4926354
MOK米歐克三重店,4.8,132,冰品飲料店,新北市三重區中正南路2號1樓,25.0607328,121.4934458
千千杯甜品（黑糖刨冰｜雪花冰｜甜湯｜傳統豆花）,4.8,128,冰品飲料店,新北市三重區重陽路一段101號,25.0595389,121.4869944
毒水製茶｜珍珠奶茶｜手搖飲料專賣店,5,45,冰品飲料店,新北市三重區環河南路221巷27號,25.052812,121.4913685
武林茶三重集美店,4.2,52,冰品飲料店,新北市三重區集美街161號,25.053387,121.4908528
CoCo都可 集美店,3.8,258,冰品飲料店,新北市三重區集美街208號,25.054221,121.491145
50嵐 中正北店,3.9,433,冰品飲料店,新北市三重區中正北路157號,25.0676882,121.482372
喫茶趣ToGo(三重店),0,0,冰品飲料店,新北市三重區重新路二段15之2號,25.062551,121.4984016
茶聚CHAGE三重信義店｜香片領導品牌,4.8,130,冰品飲料店,新北市三重區信義西街50號,25.064559,121.498104
Good Drink讚豆綠豆冰沙三重大智店,4.8,15,冰品飲料店,新北市三重區大仁街62號,25.0650737,121.4922754
花好月圓 茶飲專賣-三重自強店,4.9,222,冰品飲料店,新北市三重區自強路一段95號,25.0664186,121.4959195
