name,class,address,latitude,longitude,"latitude, longitude"
台北市私立奎山高級實驗中學附屬國中部,私立學校,台北市北投區明德路200號,25.112998,121.5223028,"25.112998, 121.5223028"
臺北市私立惇敘高級工商職業學校,職業學校,台北市北投區泉源路221號,25.1446525,121.5271635,"25.1446525, 121.5271635"
臺北市立復興高級中學,高中,台北市北投區復興四路70號,25.1431415,121.5022643,"25.1431415, 121.5022643"
臺北市立中正高級中學,高中,台北市北投區文林北路77號,25.1041727,121.5166212,"25.1041727, 121.5166212"
新北市私立光華高級商業職業進修學校,職業學院,新北市板橋區南雅南路二段１號,25.0030787,121.4548561,"25.0030787, 121.4548561"
臺北市私立南華高中,成人進修中心,台北市中正區汀州路三段58號,25.0156024,121.5311016,"25.0156024, 121.5311016"
臺北市私立志仁高中職業進修學校,高中,台北市大同區南京西路64巷17號,25.0521716,121.5188151,"25.0521716, 121.5188151"
新北市私立育才國民小學,小學,新北市永和區福和路125巷20號,25.007022,121.521715,"25.007022, 121.521715"
及人國小,小學,新北市永和區文化路172號,25.0156533,121.5118716,"25.0156533, 121.5118716"
新北市私立竹林國民小學,小學,新北市永和區竹林路34號,25.0145585,121.5170389,"25.0145585, 121.5170389"
臺北市國語實驗國民小學,小學,台北市中正區南海路58號,25.0303757,121.5108887,"25.0303757, 121.5108887"
新北市三峽區北大國民小學,小學,新北市三峽區國光街100號,24.9392516,121.3731836,"24.9392516, 121.3731836"
新北市林口區新林國民小學,小學,新北市林口區三民路101號,25.0697467,121.3590601,"25.0697467, 121.3590601"
淡海國小,小學,新北市淡水區新市二路二段81號,25.1955052,121.4284945,"25.1955052, 121.4284945"
臺北市內湖區東湖國民小學,小學,台北市內湖區東湖路115號,25.0689881,121.616085,"25.0689881, 121.616085"
新北市板橋國民小學,小學,新北市板橋區文化路一段23號,25.0123212,121.457498,"25.0123212, 121.457498"
新北市板橋區國光國民小學,小學,新北市板橋區中正路325巷30號,25.0191826,121.4530228,"25.0191826, 121.4530228"
新北市板橋區新埔國民小學,小學,新北市板橋區陽明街206號,25.025876,121.462376,"25.025876, 121.462376"
新北市板橋區埔墘國民小學,小學,新北市板橋區永豐街42-8號,25.0181471,121.4741019,"25.0181471, 121.4741019"
新北市板橋區莒光國民小學,小學,新北市板橋區莒光路163號,25.025125,121.4741597,"25.025125, 121.4741597"
新北市板橋區後埔國民小學,小學,新北市板橋區重慶路157號,25.0035722,121.4634196,"25.0035722, 121.4634196"
新北市板橋區海山國民小學,小學,新北市板橋區漢生東路280號,25.0092787,121.470468,"25.0092787, 121.470468"
新北市板橋區江翠國民小學,小學,新北市板橋區文化路二段413號,25.0324811,121.4735362,"25.0324811, 121.4735362"
新北市板橋區文聖國民小學,小學,新北市板橋區文聖街86號,25.0291299,121.4774188,"25.0291299, 121.4774188"
新北市板橋區沙崙國民小學,小學,新北市板橋區篤行路二段132號,24.9898701,121.4301153,"24.9898701, 121.4301153"
新北市樹林區樹林國民小學,小學,新北市樹林區育英街176號,24.9898163,121.4180796,"24.9898163, 121.4180796"
臺北市北投區文林國民小學,小學,台北市北投區文林北路155號,25.1059061,121.5147455,"25.1059061, 121.5147455"
臺北市大同區大同國民小學,小學,台北市大同區大龍街51號,25.0648965,121.5162473,"25.0648965, 121.5162473"
新北市樹林區武林國民小學,小學,新北市樹林區保安街二段151號,25.0019549,121.4147006,"25.0019549, 121.4147006"
新北市樹林區山佳國民小學,小學,新北市樹林區中山路三段5號,24.9754914,121.4017467,"24.9754914, 121.4017467"
新北市樹林區育德國民小學,小學,新北市樹林區佳園路一段34號,24.9708725,121.3925043,"24.9708725, 121.3925043"
新北市樹林區柑園國民小學,小學,新北市樹林區柑園街一段353號,24.9557548,121.390047,"24.9557548, 121.390047"
新北市鶯歌區鶯歌國民小學,小學,新北市鶯歌區尖山埔路106號,24.951314,121.3460408,"24.951314, 121.3460408"
新北市鶯歌區二橋國民小學,小學,新北市鶯歌區中正三路106號,24.9410772,121.3377567,"24.9410772, 121.3377567"
新北市鶯歌區中湖國民小學,學校,新北市鶯歌區中湖街25號,24.9732834,121.3480221,"24.9732834, 121.3480221"
新北市鶯歌區鳳鳴國民小學,小學,新北市鶯歌區永和街120號,24.969172,121.334826,"24.969172, 121.334826"
新北市三峽區三峽國民小學,小學,新北市三峽區中山路16號,24.9356959,121.3678873,"24.9356959, 121.3678873"
新北市三峽區大埔國民小學,小學,新北市三峽區大埔路130號,24.905644,121.366478,"24.905644, 121.366478"
新北市三峽區民義國民小學,小學,新北市三峽區白雞路40號,24.9118949,121.375543,"24.9118949, 121.375543"
成福國民小學 （Chengfu Elementary School）,小學,新北市三峽區溪東路213號,24.933094,121.405542,"24.933094, 121.405542"
臺北市大安區建安國民小學,小學,台北市大安區大安路二段99號,25.0294281,121.5461523,"25.0294281, 121.5461523"
新北市三峽區插角國民小學,小學,新北市三峽區39號,24.8721953,121.4051872,"24.8721953, 121.4051872"
新北市三峽區有木國民小學,小學,新北市三峽區北114鄉道,24.8539552,121.437044,"24.8539552, 121.437044"
新北市三峽區五寮國民小學,小學,新北市三峽區五寮里69號,24.8589276,121.3597717,"24.8589276, 121.3597717"
新北市中和區復興國民小學,小學,新北市中和區復興路301巷6號,24.989664,121.501898,"24.989664, 121.501898"
新北市中和區興南國民小學,小學,新北市中和區興南路一段135巷24號,24.9869863,121.5095508,"24.9869863, 121.5095508"
